id,name,alcoholic,thumbnail,glass,recipe,
190,Cherry Electric Lemonade,1,http://www.thecocktaildb.com/images/media/drink/tquyyt1451299548.jpg,Pint glass,"Place 1 shot of each of the following Gin, Tequila, Vodka, White Rum, Triple Sec, Cherry Liqueur and Sours. Now stir vigorously and then pour over a large cup of ice and top up with Soda Water. Now drink it with a straw and stir occasionally.",
206,Cosmopolitan,1,http://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg,Cocktail glass,Add 1 shot of each of the following Absolute Citron Lime Juice Cointreau Cranberry Juice into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,
207,Cosmopolitan Martini,1,http://www.thecocktaildb.com/images/media/drink/upxxpq1439907580.jpg,Cocktail Glass,"Pour 1 shot of each of the following, Cointreau, Vodka, Lime, Cranberry Juice, into a mixing glass half filled with ice, shake and strain into chilled Martini glass.",
210,Cream Soda,1,http://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg,Highball glass,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,
217,Dark Caipirinha,1,http://www.thecocktaildb.com/images/media/drink/uwstrx1472406058.jpg,Highball glass,Muddle the sugar into the lime wedges in an old-fashioned glass. Fill the glass with ice cubes. Pour the cachaca into the glass. Stir well.,
222,Dirty Martini,1,http://www.thecocktaildb.com/images/media/drink/vcyvpq1485083300.jpg,Cocktail glass,"Pour the 5 shots of vodka, 1 shot of dry vermouth and 2 shots of olive brine into a cocktail shaker with a handful of ice and shake well. Rub the rim of a martini glass with the wedge of lemon. Strain the contents of the cocktail shaker into the glass and add the olive. A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",
236,Espresso Martini,1,http://www.thecocktaildb.com/images/media/drink/n0sx531504372951.jpg,Cocktail glass,"Pour 1 shot of vodka, 1 shot of Kahlua and a dash of sugar syrup into shaker filled with ice, shake vigorously, and strain into chilled martini glass",
239,Flaming Lamborghini,1,http://www.thecocktaildb.com/images/media/drink/yywpss1461866587.jpg,Cocktail glass,"Pour one shot of Sambuca and one shot of Kahlua into the Cocktail Glass and give the drinker a straw. Pour 1 shot of Baileys and 1 shot of Blue Curacao into two separate shot glasses either side of the cocktail glass. Set alight the concoction in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and  Blue Curacao into the cocktail glass and keep drinking till it's all gone!!",
249,French Martini,1,http://www.thecocktaildb.com/images/media/drink/clth721504373134.jpg,Cocktail glass,Pour 3 shots of vodka 1 shot of Raspberry liqueur adn 1 shot of pineapple juice into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,
259,Gagliardo,1,http://www.thecocktaildb.com/images/media/drink/lyloe91487602877.jpg,Cocktail glass,"Mix 3 shots of Peach Vodka, 1 shot of Lemon juice, 1 shot of Galliano and a dash of sugar syrup. Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.",
266,Gin Rickey,1,http://www.thecocktaildb.com/images/media/drink/s00d6f1504883945.jpg,Highball glass,Half-fill a tall glass with ice. Mix 2 shots of gin and 1 shot of Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,
302,Imperial Cocktail,1,http://www.thecocktaildb.com/images/media/drink/bcsj2e1487603625.jpg,Cocktail glass,Shake with ice 4 shots of Lime Juice 2 shots of Gin and 2 shots of Aperol and strain into cocktail glass.,
307,Irish Curdling Cow,1,http://www.thecocktaildb.com/images/media/drink/yrhutv1503563730.jpg,Highball glass,"Pour 1 shot of each of the following Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in 3 shots of orange juice.",
344,Lemon Drop,1,http://www.thecocktaildb.com/images/media/drink/mtpxgk1504373297.jpg,Cocktail glass,Shake and strain 1 shot of Vodka and 1 shot of Cointreau into a chilled cocktail glass rimmed with sugar.,
359,Malibu Twister,1,http://www.thecocktaildb.com/images/media/drink/2dwae41504885321.jpg,Highball glass,"Add 2 shots of rum & 2 shots of tropicana then, add 1 shot of cranberry juice, stir",
363,Martinez Cocktail,1,http://www.thecocktaildb.com/images/media/drink/wwxwvr1439906452.jpg,Cocktail glass,Stir 1 shot of Gin 1 shot of Dry Vermouth 1/2 shot of Triple Sec and a dash of orange bitters (except cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,
364,Martini,1,http://www.thecocktaildb.com/images/media/drink/71t8581504353095.jpg,Cocktail glass,"Straight: Pour 2 shots of Gin and 1/2 shot of Vermouth into a mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",
365,Mary Pickford,1,http://www.thecocktaildb.com/images/media/drink/f9erqb1504350557.jpg,Cocktail glass,Shake 2 shots of Light Rum 1 shot of Pineapple Juice 1/2 shot of cherry liqueur and 1/2 shot of Grendine. Strain into a chilled large cocktail glass,
372,Midnight Mint,1,http://www.thecocktaildb.com/images/media/drink/svuvrq1441208310.jpg,Cocktail glass,"If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add 1 shot of Baileys and 3/4 shot of Creme de Menthe and 3/4 of Cream into shaker with ice. Shake well then strain into cocktail glass.",
376,Mojito,1,http://www.thecocktaildb.com/images/media/drink/rxtqps1478251029.jpg,Highball glass,Muddle mint leaves with sugar and the juice of 1 lime. Add a splash of soda water and fill the glass with cracked ice. Pour in 1 shot of light rum and top with soda water. Garnish and serve with straw.,
387,New York Lemonade,1,http://www.thecocktaildb.com/images/media/drink/b3n0ge1503565473.jpg,Cocktail glass,Serve in a chilled cocktail glass. Lemon and sugar the rim. Stir the following ingredients together 2 shots of Absolute Citron 1 shot of Grand Marnier 2 shots of Lemon Juice and a squirt of soda. Then Strain.,
391,Old Fashioned,1,http://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg,Old-fashioned glass,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved. Fill the glass with ice cubes and add Bourbon. Garnish with orange twist, and a cocktail cherry.",
397,Orangeade,0,http://www.thecocktaildb.com/images/media/drink/ytsxxw1441167732.jpg,Highball glass,"Place some ice cubes in a large tumbler or highball glass, add 1 shot of lemon juice, 3 shots of orange juice, sugar syrup, and stir well. Top up with cold soda water, serve with a drinking straw.",
408,Pisco Sour,1,http://www.thecocktaildb.com/images/media/drink/tsssur1439907622.jpg,Cocktail glass,"Vigorously shake and strain 2 shots of Pisco and 1 shot of Lemon Juice in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.[1]",
427,Rail Splitter,0,http://www.thecocktaildb.com/images/media/drink/stsuqq1441207660.jpg,Highball glass,Mix sugar syrup with lemon juice in a tall glass. Fill up with ginger ale.,
435,Ruby Tuesday,1,http://www.thecocktaildb.com/images/media/drink/qsyqqq1441553437.jpg,Highball glass,Pour 2 shots of gin and 5 shots of cranberry juice into a highball filled with ice cubes. Add a splash of grenadine and stir.,
461,Shark Attack,1,http://www.thecocktaildb.com/images/media/drink/uv96zr1504793256.jpg,Pitcher,Mix 1 can of lemonade with 3 cans of water. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!,
495,Tequila Sunrise,1,http://www.thecocktaildb.com/images/media/drink/quqyqp1480879103.jpg,Highball glass,"Pour 2 shots of tequila and 4 shots of orange juice into glass over ice. Add a dash of grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.",
502,The Evil Blue Thing,1,http://www.thecocktaildb.com/images/media/drink/ojnpz71504793059.jpg,Old-fashioned glass,"Pour 1.5 shots of Creme de Cacao, 1 shot of Blue Curacao and 1/2 shot of  Light Rum into a glass, and drop in a blue whale! The blue whale isn't really necessary, but it makes the drink more fun.",
515,Vesper,1,http://www.thecocktaildb.com/images/media/drink/mtdxpa1504374514.jpg,Cocktail glass,"Shake 4 shots of Gin, 1 shot of Vodka and 1/2 shot of Lillet Blanc over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",
532,Yellow Bird,1,http://www.thecocktaildb.com/images/media/drink/2t9r6w1504374811.jpg,Cocktail glass,Shake 3 shots of White Rum 1.5 shots of Galiano 1.5 shots of Triple Sec 1.5 shots of Lime juice and strain into a chilled cocktail glass,
541,Zippy's Revenge,1,http://www.thecocktaildb.com/images/media/drink/1sqm7n1485620312.jpg,Old-fashioned glass,Mix Kool-Aid to taste then add 2 shots of Rum and 2 shots of Amaretto. Shake well to dissolve the sugar in the Kool-Aid... serve cold,
544,Zorbatini,1,http://www.thecocktaildb.com/images/media/drink/wtkqgb1485621155.jpg,Cocktail glass,Pour 1.5 shots of vodka and 1/2 shot of Ouzo into a Martini glass. Garnish with a green olive.,
